subject,PCA1,PCA2,PCA3,cluster_kmeans,cluster_dbscan
s002,1.0362992956157677,5.475485262038618,1.7832685264538064,4,-1
s002,0.907221030036627,2.570901871044754,0.9571099573326208,4,-1
s002,-0.44696463361002975,3.53112751046724,0.41789189821320294,1,-1
s002,0.773562982849954,3.4959423046941525,1.7864745146015468,4,-1
s002,0.8599688697746638,1.4953519647920237,0.7078469044584919,4,-1
s002,-0.6059832774020002,2.2855500801496276,1.1349981363947428,1,-1
s002,-0.8275974746435725,0.709545165515039,0.8530469677178221,0,-1
s002,-0.10450265788908465,1.0279402526496262,0.7266182083444674,0,-1
s002,-0.5746980254100275,2.1644314658173345,0.4217075003761064,1,-1
s002,0.8368284706555165,1.7741412880602614,-0.1148428468755128,4,-1
s002,-1.703472289021427,1.425440573670966,0.5195357946937899,0,-1
s002,0.2559322450228941,2.2631944619418745,-1.5533824594984322,1,-1
s002,-0.3793866901232104,0.29230660660655144,-0.008163772504807033,0,-1
s002,-1.2956955055847708,0.5686635439848773,0.922919791970706,0,-1
s002,-0.6983024489588363,0.6533912718872271,0.7856917540728033,0,-1
s002,-0.4777145859733009,1.0633046041714251,0.4787785355423632,0,-1
s002,0.3017021219438018,1.988278020565474,-0.8697350806941001,1,-1
s002,0.7596252719313488,2.342437879232534,-0.4757002549881351,4,-1
s002,0.22149634497008822,1.6220375529174644,-1.4628479937374947,1,-1
s002,-0.7249866540955383,0.4296497823820262,0.44497313585921433,0,-1
s002,-0.4759013814737043,1.5133261106232567,0.6607911342267995,0,-1
s002,-1.6594142202167115,1.4224815015593042,0.16409229719797241,0,-1
s002,-0.5502549483108674,0.4238767943990887,1.0332691706034773,0,-1
s002,-0.7824406689720774,1.3740227295027172,1.0234477116473728,0,-1
s002,-1.0180383871556644,0.516197071802759,0.4464323529773766,0,-1
s002,0.624896522891122,1.536802358684362,-0.5115038964373662,1,-1
s002,-1.2929166225149784,0.9488867025131099,0.6066926074932524,0,-1
s002,-0.19895718601402165,0.584405762317714,0.8157235495070071,0,-1
s002,-0.24293185845485987,1.4819991533284194,0.7596138710353252,0,-1
s002,-0.7592254592140035,0.6822575256743652,1.0619513144034873,0,-1
s002,-1.4999209638935582,0.4958979686372987,0.2737680502545336,0,-1
s002,-0.4545442046755056,0.9812534034917991,0.4939791864020495,0,-1
s002,-1.4594889367190245,0.6964057852694235,0.6604227869942756,0,-1
s002,-1.1552143206134504,0.7618092147231413,1.2480416727631205,0,-1
s002,-1.9109090748848994,1.5688441122841212,0.11554633255693535,0,-1
s002,1.1254434822809267,2.0916890834410333,-0.47165505579088973,4,-1
s002,-0.5683494301278634,2.056197366494245,0.5683306935109536,1,-1
s002,-1.272168777400563,0.9584843780378742,0.6116529533864372,0,-1
s002,-0.27946662988829013,2.4518772442840953,0.972668770735938,1,-1
s002,-0.7203579311871032,0.7667275424631551,0.5407600568775673,0,-1
s002,-1.5572946252865305,1.0283123452120233,0.6842494676999497,0,-1
s002,-0.5227909798048949,2.0870365740248116,2.202067237073519,1,-1
s002,-0.9106765040296749,3.52788020750124,2.749771949963923,1,-1
s002,-1.3373757656027516,0.16179159460620296,0.7543104006186823,0,-1
s002,-0.6904957054903065,0.11769053332324049,1.1091910019820657,0,-1
s002,-1.180012522077395,0.5040935413816081,0.645808644627297,0,-1
s002,-1.7986393719272002,-0.7400202535116349,0.7515419656965571,0,-1
s002,-1.4003708085493063,-0.29842936513562396,1.2585291688958147,0,-1
s002,-1.3627341045929109,0.10164830338127602,0.3706974386212128,0,-1
s002,0.30019649706598006,1.4160210290669097,-1.6837696015749102,4,-1
s002,-0.8710968422485927,0.4918772951110912,1.03883701575776,0,-1
s002,-0.17650210393862967,-0.2335192966529455,-0.3826323693079826,0,-1
