subject,media_H,media_DD,media_UD,cluster
s002,0.1157818181818182,0.54039,0.42045000000000005,35
s002,0.1001,0.434,0.33136,47
s002,0.11110909090909092,0.39526,0.28249,47
s002,0.1054,0.46449999999999997,0.35669,35
s002,0.0925818181818182,0.39389,0.30023000000000005,47
s002,0.10094545454545455,0.37359,0.26846,47
s002,0.09476363636363637,0.35409,0.25875,35
s002,0.09484545454545455,0.33111999999999997,0.23358000000000004,35
s002,0.08942727272727272,0.31206999999999996,0.22004,25
s002,0.10221818181818182,0.31652,0.21273999999999998,36
s002,0.09646363636363636,0.32032,0.22213000000000002,42
s002,0.09137272727272726,0.33855,0.24583000000000005,47
s002,0.09835454545454544,0.35669999999999996,0.25339999999999996,35
s002,0.09031818181818183,0.39087,0.2947,31
s002,0.10755454545454546,0.5286299999999999,0.42333,23
s002,0.09809090909090909,0.28994,0.18835,36
s002,0.10087272727272728,0.32308,0.21982999999999997,47
s002,0.0935818181818182,0.31492,0.22008,47
s002,0.0917090909090909,0.33679000000000003,0.24464999999999998,25
s002,0.09478181818181818,0.36299000000000003,0.26657000000000003,31
s002,0.0859,0.29114,0.20541,27
s002,0.09173636363636363,0.28555,0.19285000000000002,25
s002,0.09095454545454545,0.3154100000000001,0.22235999999999997,25
s002,0.09213636363636364,0.32225000000000004,0.22911,47
s002,0.09699090909090909,0.35783000000000004,0.26034999999999997,31
s002,0.09332727272727272,0.39934,0.30744999999999995,38
s002,0.09522727272727273,0.33501000000000003,0.23620000000000002,44
s002,0.08783636363636363,0.30313,0.21529999999999996,25
s002,0.0967818181818182,0.34302,0.24579999999999996,47
s002,0.10063636363636365,0.27840999999999994,0.17795,36
s002,0.08911818181818182,0.30567,0.21342,47
s002,0.09546363636363639,0.33794,0.24007999999999993,47
s002,0.08982727272727273,0.28972999999999993,0.19683,25
s002,0.09142727272727273,0.36863999999999997,0.27347999999999995,39
s002,0.0944818181818182,0.28911999999999993,0.19249999999999998,36
s002,0.08722727272727272,0.34513999999999995,0.25578999999999996,25
s002,0.09344545454545455,0.35143,0.25886000000000003,31
s002,0.09210000000000002,0.31416000000000005,0.22119,47
s002,0.09187272727272729,0.26304,0.16929000000000002,25
